ID_TIMESTAMP,DATASET,VNS,LS,NB,LS_NB,MEASURE,STOP_CONDITION,ITER,ITER_STOP_CONDITION,STOP_LIMIT,TIME,MEASURE_CALLS,VAL_IN,FAL_FIN,VAL_OPT,POINTS,CLUSTERS,WEIGHTS,WEIGHTS_OP,CS_EV,CS_EV_OP,CH_EV,CH_EV_OP,DB_EV,DB_EV_OP,D_EV,D_EV_OP,S_EV,S_EV_OP,NB_MAX,LS_NB_MAX,1_NB,2_NB,3_NB,4_NB,5_NB,6_NB,7_NB,8_NB,1_NB_SUCC,2_NB_SUCC,3_NB_SUCC,4_NB_SUCC,5_NB_SUCC,6_NB_SUCC,7_NB_SUCC,8_NB_SUCC,1_LS_NB,2_LS_NB,3_LS_NB,4_LS_NB,5_LS_NB,6_LS_NB,7_LS_NB,8_LS_NB,1_LS_NB_SUCC,2_LS_NB_SUCC,3_LS_NB_SUCC,4_LS_NB_SUCC,5_LS_NB_SUCC,6_LS_NB_SUCC,7_LS_NB_SUCC,8_LS_NB_SUCC
1473425359965,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,42,20,1.0E-4,138,214,6.080362165912843E10,2.150433796900272E10,0.0,0,0,[40.46.87.94.98.121.133.140.147.150.152.157.174.178.181.206.210.211.213.262.],[],1.0515864560854966,0.0,7701.730816990929,0.0,0.6444351400550307,0.0,0.006799033472257763,0.0,0.4924885658276378,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425360535,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,82,20,1.0E-4,112,628,7.958205640162773E10,1.8506006335281837E10,0.0,0,0,[35.63.73.109.141.144.149.150.152.158.160.161.167.173.178.179.182.199.204.223.],[],1.0300158088147444,0.0,8974.835475608159,0.0,0.6468684187939298,0.0,0.004650827745571314,0.0,0.49817755703381295,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425360988,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,72,20,1.0E-4,78,974,4.032264648931805E10,1.733698509101088E10,0.0,0,0,[18.51.131.132.135.144.145.147.147.153.154.154.155.155.159.161.185.189.241.244.],[],0.9695551055926389,0.0,9590.521570560339,0.0,0.6013554017812831,0.0,0.009195054679972689,0.0,0.5300496621530824,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425361386,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,66,20,1.0E-4,65,1298,3.536344621326135E10,1.6707459350613123E10,0.0,0,0,[22.86.132.136.144.145.147.150.150.152.154.155.155.156.156.160.165.172.198.265.],[],0.9282081553900492,0.0,9957.763895036496,0.0,0.5985019084193397,0.0,0.0017898810429166968,0.0,0.5430169094820303,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425361763,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,42,20,1.0E-4,43,1512,3.945917223795569E10,2.214859604395612E10,0.0,0,0,[25.63.75.86.96.107.114.131.142.148.152.156.160.163.177.187.218.229.283.288.],[],0.9893568468419356,0.0,7473.165244725755,0.0,0.7094019342787214,0.0,0.006087423012117105,0.0,0.4792194951831812,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425362190,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,68,20,1.0E-4,91,1834,5.413553791097475E10,1.7817343951733368E10,0.0,0,0,[45.69.98.131.136.147.147.147.148.151.152.158.158.161.167.169.172.204.215.225.],[],1.0104521928641528,0.0,9327.75356146066,0.0,0.6262321632779155,0.0,0.004102711136709677,0.0,0.5165500610387379,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425362637,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,54,20,1.0E-4,80,2096,4.2988312166099075E10,2.0050397401535946E10,0.0,0,0,[30.53.80.113.119.134.145.146.153.155.157.158.159.159.161.164.180.222.249.263.],[],1.0277880227842173,0.0,8271.528680557522,0.0,0.6924767130598594,0.0,0.007019512676975538,0.0,0.48798749492179383,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425363010,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,49,20,1.0E-4,47,2316,2.4038452382342007E10,1.8374911953497883E10,0.0,0,0,[18.69.90.127.135.149.150.151.151.155.155.156.157.158.164.165.168.178.215.289.],[],0.9199720887746575,0.0,9039.978711933612,0.0,0.6264615784738989,0.0,0.009010426840413843,0.0,0.5214326185843042,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425363407,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,45,20,1.0E-4,54,2546,5.0702826297227005E10,2.2233874038325096E10,0.0,0,0,[28.30.40.53.117.141.148.150.150.152.153.156.158.186.196.198.210.222.227.285.],[],1.023376637900395,0.0,7443.9035915537515,0.0,0.6597311437626651,0.0,0.008247302110351656,0.0,0.4776334926933,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1473425363763,a1,GENERAL_VNS,VND,IMAGINARY_CENTROID,CLOSEST_CLUSTER,DISTANCE_TO_CENTROID_SUM,ITERATIONS_UNCHANGED,33,20,1.0E-4,30,2706,3.200748639830223E10,1.6651127371501171E10,0.0,0,0,[45.77.80.127.130.139.144.145.148.150.151.153.154.156.160.170.193.213.231.234.],[],0.9309715354566069,0.0,9991.979496404912,0.0,0.6192999588345871,0.0,0.0035718061341908115,0.0,0.5344007436450261,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
